1,0.11375
2,0.11375
3,0.11375
4,0.11375
5,0.11375
6,0.11375
7,0.11375
8,0.11375
9,0.11375
10,0.11375
11,0.11375
12,0.11375
13,0.11375
14,0.11375
15,0.11375
16,0.11375
17,0.11375
18,0.11375
19,0.11375
20,0.11375
21,0.11375
22,0.11375
23,0.11375
24,0.11375
25,0.11375
26,0.11375
27,0.11375
28,0.11375
29,0.11375
30,0.11375
31,0.11375
32,0.11375
33,0.11375
34,0.11375
35,0.11375
36,0.11375
37,0.11375
38,0.11375
39,0.11375
40,0.11375
41,0.11375
42,0.11375
43,0.11375
44,0.11375
45,0.11375
46,0.11375
47,0.11375
48,0.11375
